0
0.3045265,-0.6436104,0.1487173,-0.01720304,-0.4841892,0.2317012,0.8435517,0
0.3022565,-0.6346062,0.1536823,-0.03476808,-0.4722291,0.2077421,0.8559405,0.01116947
0.2987813,-0.6226422,0.1585292,-0.04259362,-0.459235,0.203559,0.8636277,0.02271605
0.2981346,-0.6104008,0.1648012,-0.05183111,-0.4609379,0.1946401,0.8642714,0.0344568
0.3003903,-0.5938478,0.1764957,-0.09355852,-0.4966855,0.2126502,0.8362597,0.04484422
0.3030173,-0.5743188,0.1895112,-0.1246868,-0.5379239,0.2121456,0.8062787,0.05589566
0.3049632,-0.5524374,0.2087238,-0.157148,-0.5875636,0.2163442,0.7637203,0.06708276
0.3038554,-0.533066,0.2280756,-0.1825798,-0.6097924,0.2257317,0.7374707,0.07825299
0.3117457,-0.5039146,0.2608094,-0.188618,-0.5913558,0.2262035,0.750702,0.08934838
0.3217061,-0.4781258,0.2949945,-0.1828634,-0.5695674,0.2172785,0.7713261,0.1006691
0.3327643,-0.4403528,0.3454928,-0.1496693,-0.5154762,0.1967748,0.8204651,0.1117808
0.3433261,-0.4040892,0.3930516,-0.1479368,-0.4962208,0.1914765,0.8337964,0.1231023
0.3506327,-0.3614302,0.4457716,-0.1327764,-0.4561859,0.1893384,0.8593113,0.1340769
0.3414957,-0.3219001,0.4974432,-0.1096425,-0.423886,0.1804152,0.8807665,0.1452016
0.3322067,-0.3003592,0.5248435,-0.09024918,-0.3907714,0.1718964,0.8997802,0.1565264
0.3046609,-0.2626296,0.562006,-0.06490239,-0.3662971,0.1667946,0.9131231,0.1675791
0.2636165,-0.2353092,0.5832514,-0.05722924,-0.3589163,0.1749142,0.9150459,0.1788955
0.2170963,-0.2295768,0.5855248,-0.06307055,-0.3570521,0.1784499,0.9147084,0.1899975
0.1862907,-0.223101,0.5853866,-0.0723357,-0.35874,0.1746052,0.9141041,0.2014202
0.1568779,-0.2003153,0.5806595,-0.07284295,-0.3520876,0.1699693,0.9175177,0.2122759

1
0.436107,-0.5500188,0.2403187,0.06553574,0.0465365,-0.2346638,0.9687479,0
0.4397399,-0.5336262,0.2539431,0.0616298,0.04679371,-0.2778578,0.9575005,0.01116717
0.443265,-0.5163448,0.2698543,0.0581379,0.05172656,-0.3112007,0.9471529,0.02226971
0.4457083,-0.4982693,0.2870415,0.04483871,0.06603169,-0.342824,0.9360027,0.03340162
0.4481278,-0.4781296,0.3048406,0.008554508,0.09524935,-0.4008425,0.9111419,0.05583485
0.4505242,-0.4466514,0.3378515,-0.006355868,0.109349,-0.4149878,0.9032096,0.06711086
0.4499103,-0.427262,0.3566805,-0.0192031,0.126914,-0.422275,0.8973338,0.07820778
0.4425027,-0.4065484,0.379603,-0.0293647,0.142134,-0.4394749,0.8864521,0.08944623
0.4352955,-0.38235,0.4049998,-0.04296337,0.1749368,-0.4838219,0.8564273,0.1117218
0.4212809,-0.3616614,0.4295333,-0.04872678,0.1870883,-0.5076943,0.8395655,0.1229202
0.3832037,-0.3232006,0.4758434,-0.04865654,0.189913,-0.5334581,0.8227928,0.1339647
0.3594946,-0.3017044,0.5000386,-0.04405284,0.1870226,-0.5604751,0.8055741,0.1452175
0.3218077,-0.2779922,0.5280946,-0.0122749,0.1846629,-0.5798709,0.7934095,0.1675587
0.2871858,-0.2567568,0.5500174,0.009092804,0.1631996,-0.5807329,0.7975165,0.1787149
0.2488263,-0.2396511,0.5680019,0.03382703,0.1199026,-0.5794306,0.8054435,0.1898974
0.1850135,-0.2182041,0.5922222,0.06980821,0.06016593,-0.5722026,0.8149178,0.2009698
0.1370875,-0.2072997,0.6119619,0.1586221,-0.08249795,-0.5334603,0.8267124,0.2233872
0.105498,-0.2035904,0.6221009,0.2113253,-0.1817245,-0.5015025,0.8190318,0.2345009
0.07813799,-0.2002049,0.6288557,0.2525845,-0.2827124,-0.4656711,0.7996407,0.2458855
